ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,8,4,2024-11-23,Missouri State,@,Saint Louis,REG (Non-Conf),W 91-68,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
2,9,6,2024-11-29,Missouri State,N,Florida State,REG (Non-Conf),L 66-97,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
3,10,11,2024-12-20,Missouri State,,Southern Mississippi,REG (Non-Conf),W 92-54,,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
4,11,15,2025-01-12,Missouri State,,Southern Illinois,REG (Conf),W 75-37,,4,0,0,0,0,0,0,0,2,.000,0,0,0,0,0,0,0,2,0,-1.6,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
5,12,16,2025-01-17,Missouri State,@,Evansville,REG (Conf),W 84-57,,2,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,0,0,0,1.4,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
6,13,17,2025-01-19,Missouri State,@,Indiana State,REG (Conf),W 73-57,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
7,14,20,2025-01-31,Missouri State,@,Bradley,REG (Conf),W 73-62,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
8,15,23,2025-02-09,Missouri State,,Evansville,REG (Conf),W 86-57,,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
9,16,24,2025-02-13,Missouri State,@,Southern Illinois,REG (Conf),W 83-48,,5,0,0,0,0,0,0,2,4,.500,0,1,1,0,0,0,1,0,2,0.5,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
10,17,25,2025-02-16,Missouri State,,Valparaiso,REG (Conf),W 79-63,,2,0,0,0,0,0,0,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
11,18,30,2025-03-06,Missouri State,,Illinois State,REG (Conf),W 72-47,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
12,19,31,2025-03-08,Missouri State,,Bradley,REG (Conf),W 64-54,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
13,20,34,2025-03-20,Missouri State,,Oral Roberts,WBIT,W 107-76,,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,Blake O'Grady,https://www.sports-reference.com/cbb/players/blake-ogrady-1.html,missouri-state,2024-25
